,delinquency_rate
1985-03-31,4.61
1985-06-30,4.92
1985-09-30,4.91
1985-12-31,4.77
1986-03-31,4.86
1986-06-30,4.74
1986-09-30,4.75
1986-12-31,4.66
1987-03-31,5.63
1987-06-30,5.47
1987-09-30,5.33
1987-12-31,5.32
1988-03-31,5.13
1988-06-30,5.04
1988-09-30,5.07
1988-12-31,4.67
1989-03-31,4.93
1989-06-30,4.99
1989-09-30,5.05
1989-12-31,4.94
1990-03-31,5.03
1990-06-30,5.08
1990-09-30,5.38
1990-12-31,5.99
1991-03-31,6.13
1991-06-30,6.2
1991-09-30,6.0
1991-12-31,5.83
1992-03-31,5.55
1992-06-30,5.43
1992-09-30,5.22
1992-12-31,4.85
1993-03-31,4.52
1993-06-30,4.21
1993-09-30,3.87
1993-12-31,3.38
1994-03-31,3.17
1994-06-30,2.87
1994-09-30,2.66
1994-12-31,2.52
1995-03-31,2.54
1995-06-30,2.51
1995-09-30,2.51
1995-12-31,2.47
1996-03-31,2.43
1996-06-30,2.47
1996-09-30,2.43
1996-12-31,2.4
1997-03-31,2.37
1997-06-30,2.31
1997-09-30,2.25
1997-12-31,2.26
1998-03-31,2.25
1998-06-30,2.2
1998-09-30,2.19
1998-12-31,2.2
1999-03-31,2.19
1999-06-30,2.17
1999-09-30,2.21
1999-12-31,2.05
2000-03-31,2.08
2000-06-30,2.14
2000-09-30,2.2
2000-12-31,2.34
2001-03-31,2.42
2001-06-30,2.55
2001-09-30,2.72
2001-12-31,2.74
2002-03-31,2.75
2002-06-30,2.75
2002-09-30,2.69
2002-12-31,2.57
2003-03-31,2.54
2003-06-30,2.42
2003-09-30,2.22
2003-12-31,2.15
2004-03-31,1.96
2004-06-30,1.86
2004-09-30,1.74
2004-12-31,1.64
2005-03-31,1.6
2005-06-30,1.57
2005-09-30,1.56
2005-12-31,1.54
2006-03-31,1.51
2006-06-30,1.51
2006-09-30,1.58
2006-12-31,1.69
2007-03-31,1.74
2007-06-30,1.87
2007-09-30,2.14
2007-12-31,2.47
2008-03-31,2.86
2008-06-30,3.32
2008-09-30,3.72
2008-12-31,4.75
2009-03-31,5.64
2009-06-30,6.37
2009-09-30,6.94
2009-12-31,7.3
2010-03-31,7.4
2010-06-30,7.21
2010-09-30,6.89
2010-12-31,6.38
2011-03-31,6.2
2011-06-30,5.96
2011-09-30,5.7
2011-12-31,5.46
2012-03-31,5.27
2012-06-30,5.13
2012-09-30,5.04
2012-12-31,4.65
2013-03-31,4.41
2013-06-30,4.14
2013-09-30,3.78
2013-12-31,3.52
2014-03-31,3.31
2014-06-30,3.08
2014-09-30,2.9
2014-12-31,2.7
2015-03-31,2.49
2015-06-30,2.39
2015-09-30,2.28
2015-12-31,2.19
2016-03-31,2.17
2016-06-30,2.14
2016-09-30,2.07
2016-12-31,2.03
2017-03-31,1.93
2017-06-30,1.85
2017-09-30,1.83
2017-12-31,1.79
2018-03-31,1.72
2018-06-30,1.65
2018-09-30,1.6
2018-12-31,1.52
2019-03-31,1.53
2019-06-30,1.5
2019-09-30,1.47
2019-12-31,1.42
2020-03-31,1.5
2020-06-30,1.55
2020-09-30,1.59
2020-12-31,1.58
2021-03-31,1.47
2021-06-30,1.37
2021-09-30,1.29
2021-12-31,1.26
2022-03-31,1.24
2022-06-30,1.22
2022-09-30,1.2
2022-12-31,1.19
2023-03-31,1.21
2023-06-30,1.26
2023-09-30,1.34
2023-12-31,1.38
2024-03-31,1.43
2024-06-30,1.49
2024-09-30,1.52
2024-12-31,1.53
2025-03-31,1.55
2025-06-30,1.51
2025-09-30,1.49
2025-12-31,1.48
